FILENAME MJD-HELIO FILTER DATE-OBS FWHM TmC1 TmC2 TmC3 TmC4 TmC1_err TmC2_err TmC3_err TmC4_err C1mC2 C1mC3 C1mC4 C2mC3 C2mC4 C3mC4 C1mC2_err C1mC3_err C1mC4_err C2mC3_err C2mC4_err C3mC4_err 
 ./astrometry/Mrk6-0001_Ha_cal_wcs.fit 60239.85611067107 Ha 2023-10-22T20:28:15 3.0 -0.02482970126857076 0.04813436130497806 3.4629603670653513 3.7247055215859106 0.009558214753141487 0.00928243893668613 0.0068286547945746925 0.0068132619738930575 0.07296406257354882 3.487790068333922 3.7495352228544814 3.414826005760373 3.6765711602809326 0.26174515452055935 0.009283748809543968 0.006830435245932008 0.006815046446672204 0.006438870164478035 0.006422543220285449 0.0013099294280974798 
 ./astrometry/Mrk6-0001_SII_cal_wcs.fit 60239.85988374287 SII 2023-10-22T20:33:41 3.0 -1.1863922808947187 -1.100108680926219 2.3001124535641058 2.569257710623198 0.007053663686970472 0.006705333413283428 0.003251612037311176 0.0032207900991477706 0.08628359996849966 3.4865047344588245 3.7556499915179167 3.400221134490325 3.669366391549417 0.2691452570590922 0.008682023212527392 0.00640226613948188 0.006386667342388954 0.006016339127340275 0.005999737037299794 0.0012681991857112405 
 ./astrometry/Mrk6-0001_cnt_cal_wcs.fit 60239.85232554888 HaContinuum 2023-10-22T20:22:48 3.0 0.22993033410550368 0.3074132192793968 3.680920452992593 3.9266100083717426 0.011003114699506763 0.010722544664129745 0.008530854486297586 0.008517915176026803 0.07748288517389312 3.4509901188870895 3.696679674266239 3.3735072337131964 3.6191967890923458 0.24568955537914938 0.009624013813511068 0.007100996836696819 0.007085446828138808 0.006657971692530218 0.006641384474500612 0.0013822090761762976 
 ./astrometry/Mrk6-0002_R_cal_wcs.fit 60239.867731816135 R 2023-10-22T20:46:29 3.0 0.06200096811451061 0.15134224474627267 3.0327009492662285 3.170580174064085 0.0036610107811402334 0.0035342829699190866 0.002877183301837252 0.0028739029666070945 0.08934127663176206 2.970699981151718 3.1085792059495745 2.881358704519956 3.0192379293178124 0.13787922479785664 0.0031118183264270747 0.002338897376457212 0.002334860905214779 0.0021350871432879474 0.0021306645955042843 0.0005716286027189915 
 ./astrometry/Mrk6-0001_B_cal_wcs.fit 60239.84514911659 B 2023-10-22T20:12:58 3.0 0.7063468266813384 0.8859813625771906 3.554198317585474 3.133908264007701 0.007262053027111911 0.0070473095693362455 0.006370536347855574 0.006388402943335677 0.1796345358958522 2.8478514909041355 2.4275614373263625 2.6682169550082833 2.2479269014305103 -0.42029005357777294 0.004701201952212954 0.003608387588491805 0.003639837880435421 0.003153984620484801 0.0031899181483739623 0.0010462977523708942 
 ./astrometry/Mrk6-0002_cnt_cal_wcs.fit 60239.8704518443 HaContinuum 2023-10-22T20:48:54 3.0 0.23524657713323727 0.3146844462813263 3.6789851644962663 3.9268454691813783 0.011769903443826694 0.011528783735844253 0.009126290239508315 0.009112325089800108 0.07943786914808904 3.443738587363029 3.691598892048141 3.36430071821494 3.612161022900052 0.247860304685112 0.010356269083304791 0.007591352213781972 0.007574557639898733 0.007211855224874938 0.007194174781794765 0.0014602978801907297 
 ./astrometry/Mrk6-0002_V_cal_wcs.fit 60239.86586764734 V 2023-10-22T20:43:33 3.0 0.326092616244237 0.44651203847832477 3.3204848683892507 3.309031831763921 0.004778570838005233 0.00464497809529164 0.0039533172884018575 0.0039535956518857605 0.12041942223408775 2.9943922521450137 2.982939215519684 2.873972829910926 2.862519793285596 -0.011453036625329815 0.003688393184225065 0.0027671538371539417 0.002767551508880867 0.0025294708162738105 0.002529905849278561 0.0006732901924517715 
 ./astrometry/Mrk6-0002_SII_cal_wcs.fit 60239.877998633776 SII 2023-10-22T20:59:46 3.0 -1.184378113810066 -1.102370798276743 2.298040984590118 2.5732695742437297 0.009427714087308666 0.008934350202921331 0.00413521841605422 0.004098010062775616 0.08200731553332297 3.482419098400184 3.7576476880537957 3.400411782866861 3.6756403725204727 0.2752285896536115 0.011712657174664583 0.008629238430548506 0.008611469736194366 0.008087309597613869 0.00806834751692028 0.001541314196984886 
 ./astrometry/Mrk6-0002_Ha_cal_wcs.fit 60239.87422515405 Ha 2023-10-22T20:54:20 3.0 -0.05432986532792583 0.024826890060392515 3.4519306245436763 3.702438422684711 0.01146925540053686 0.011038012149122683 0.008157147981470315 0.008141787327685262 0.07915675538831835 3.506260489871602 3.756768288012637 3.4271037344832838 3.6776115326243186 0.25050779814103485 0.011076377805278453 0.008208988748481166 0.008193725280380194 0.0075948264650435825 0.007578326116747517 0.001460266317903268 
 ./astrometry/Mrk6-0002_B_cal_wcs.fit 60239.86332183704 B 2023-10-22T20:39:08 3.0 0.7085209897645406 0.885455250276971 3.5447299897832725 3.1435181688275 0.007058566275809352 0.006846142397000554 0.006172151358592516 0.006189944479521967 0.17693426051243044 2.836209000018732 2.434997179062959 2.6592747395063014 2.2580629185505288 -0.4012118209557727 0.004625128916800859 0.0035521267109148067 0.0035829547075819233 0.003108683325848714 0.003143862637997857 0.0010534035124138306 
 ./astrometry/Mrk6-0001_V_cal_wcs.fit 60239.847718664445 V 2023-10-22T20:17:25 3.0 0.3289177641978913 0.44224200267636427 3.257531944692552 3.2537837572421395 0.004421479089353717 0.004305554353283526 0.0036626263416091463 0.003662874605803648 0.11332423847847295 2.9286141804946606 2.924865993044248 2.8152899420161877 2.8115417545657753 -0.003748187450412388 0.0034191229888991597 0.002562700810158923 0.0025630556181989554 0.002357065207811559 0.0023574509652308315 0.0006592484225527227 
