FILENAME MJD-HELIO FILTER DATE-OBS FWHM RAJ2000 DECJ2000 xpix ypix flag flag_p flux_peak flux mag mag_err 
 ./astrometry/Mrk335-0001_B_cal_wcs.fit 60239.77555422578 B 2023-10-22T18:27:21 3.0 1.5814245344579048 20.202982784084693 1062.2214573544381 994.4728005692748 0 1 6968.9541015625 260603.0462609824 -13.539948719985954 0.0031172998079375246 
 ./astrometry/Mrk335-0001_cnt_cal_wcs.fit 60239.782625616994 HaContinuum 2023-10-22T18:37:02 3.0 1.5814029889952053 20.202947989906335 1038.6072216068912 973.5806514233702 0 1 1268.2373046875 40234.44350868225 -11.511494997208267 0.007859940160065077 
 ./astrometry/Mrk335-0002_B_cal_wcs.fit 60239.793504868634 B 2023-10-22T18:53:12 3.0 1.5814128653623398 20.202978326286836 1044.691083609716 991.5078155812796 0 1 9183.1171875 271498.00831824995 -13.58441661999111 0.0029124387970747025 
 ./astrometry/Mrk335-0001_R_cal_wcs.fit 60239.77990581561 R 2023-10-22T18:34:37 3.0 1.5813984745158505 20.20297807773151 1030.8287762885527 964.8669850204087 0 1 17084.7421875 586088.460350533 -14.419907926319498 0.0019275828668544285 
 ./astrometry/Mrk335-0001_Ha_cal_wcs.fit 60239.78637564462 Ha 2023-10-22T18:42:26 3.0 1.5814135389796609 20.202949579753874 1068.0194211715134 985.6116494305295 0 1 1742.8914794921875 48589.96318297934 -11.716366424986443 0.006879776052774136 
 ./astrometry/Mrk335-0002_cnt_cal_wcs.fit 60239.80063422443 HaContinuum 2023-10-22T19:02:58 3.0 1.5813965672021442 20.202962705025865 1034.4267970607525 1022.5860830469469 0 1 1252.736572265625 40352.80496105054 -11.514684320803019 0.007607415490944352 
 ./astrometry/Mrk335-0001_SII_cal_wcs.fit 60239.79009058885 SII 2023-10-22T18:47:47 3.0 1.5813982941279296 20.202973961396907 1036.0079753142636 1021.603694210642 0 1 15131.669921875 335867.2855391094 -13.815419260856341 0.001989148995282927 
 ./astrometry/Mrk335-0003_V_cal_wcs.fit 60239.81402520649 V 2023-10-22T19:23:30 3.0 1.5814313389633883 20.20298166366056 1073.7519984327173 986.43872806309 0 1 13288.830078125 422660.1069804257 -14.064978146566444 0.0022619825702584963 
 ./astrometry/Mrk335-0003_B_cal_wcs.fit 60239.81152529828 B 2023-10-22T19:19:09 3.0 1.5814484010579954 20.202952233486677 1056.8939864340316 981.8118592506593 0 1 8066.12255859375 262575.931768979 -13.5481372882092 0.0029354550646998995 
 ./astrometry/Mrk335-0001_V_cal_wcs.fit 60239.77805400966 V 2023-10-22T18:31:42 3.0 1.5814051727022629 20.202964484763083 1033.9797884188192 972.6984972849949 0 1 10292.232421875 413332.69117808744 -14.040749389303834 0.0023640281320623183 
 ./astrometry/Mrk335-0002_SII_cal_wcs.fit 60239.808157327585 SII 2023-10-22T19:13:48 3.0 1.5814230305010322 20.202964961304513 1063.3394449594782 996.7869167203817 0 1 13424.1171875 327441.03084583837 -13.78783274719982 0.0020187901237633723 
 ./astrometry/Mrk335-0002_V_cal_wcs.fit 60239.796062858775 V 2023-10-22T18:57:38 3.0 1.5814419593544606 20.202988060802895 1092.2839829387945 961.5326819036899 0 1 15049.802734375 427294.3908642475 -14.076817979569938 0.002320444794950687 
 ./astrometry/Mrk335-0003_R_cal_wcs.fit 60239.81583048636 R 2023-10-22T19:26:21 3.0 1.5813921411269964 20.203019398491374 1048.3335855667478 1026.100029591662 0 1 21310.92578125 601017.2382263903 -14.447217321268228 0.0018446205144803237 
 ./astrometry/Mrk335-0003_SII_cal_wcs.fit 60239.8260733909 SII 2023-10-22T19:39:36 3.0 1.5814259704513391 20.20296060768911 1047.9397113266418 1016.0914814911843 0 1 9911.5546875 325297.0670268412 -13.780700368934724 0.0020169837018587855 
 ./astrometry/Mrk335-0002_Ha_cal_wcs.fit 60239.80439566914 Ha 2023-10-22T19:08:23 3.0 1.5814155841992765 20.202960284993033 1030.8920697802225 1029.2534860851335 0 1 1340.48779296875 48159.96041042746 -11.70671530310262 0.0068048029662580636 
 ./astrometry/Mrk335-0002_R_cal_wcs.fit 60239.79791459767 R 2023-10-22T19:00:33 3.0 1.5814207093849548 20.20299367865511 1092.3384165840228 1003.4417001831413 0 1 20050.791015625 594678.447329371 -14.435705497099288 0.0018615578368478352 
 ./astrometry/Mrk335-0003_cnt_cal_wcs.fit 60239.818596589845 HaContinuum 2023-10-22T19:28:50 3.0 1.5814041313252878 20.202944307266886 1014.4732578546553 1035.9975372937922 0 1 1120.1248779296875 39249.90017069849 -11.48459639121465 0.007796857775364667 
 ./astrometry/Mrk335-0003_Ha_cal_wcs.fit 60239.82231190009 Ha 2023-10-22T19:34:11 3.0 1.5814178186189418 20.20296647589501 1058.548849342743 1041.1001262508498 0 1 1332.587890625 48004.141219453944 -11.703196761729496 0.00686336927814685 
 
